"Data generated on Tuesday, December 06, 2016 at 11:20:23 AM EST",,,,,,,,,,,,,,
Area/Partners of Origin,,,,,January - December,,,,,,,,,
And Consumption  Commodities Imported,,,,,Cumulative To Date Values in Thousands of dollars,,,,,,,,,
,,,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,
,Partner,,Product,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Partner Code
1,Brazil,1,Coffee & Coffee Pdts,"526,848","598,820","696,778","828,552","828,216","1,164,176","2,031,003","1,446,567","1,193,980","1,438,173",BR
2,Colombia,1,Coffee & Coffee Pdts,"628,182","623,538","701,040","847,275","782,274","909,201","1,433,945","994,237","1,017,228","1,235,935",CO
3,Canada,1,Coffee & Coffee Pdts,"129,816","131,555","126,184","140,935","178,186","271,134","407,602","413,071","395,362","402,722",CA
4,Vietnam,1,Coffee & Coffee Pdts,"156,815","204,108","309,365","296,002","265,321","369,781","500,290","620,809","485,552","512,950",VM
5,Mexico,1,Coffee & Coffee Pdts,"203,226","249,170","282,117","318,491","330,027","342,160","600,899","588,353","473,595","398,480",MX
6,Indonesia,1,Coffee & Coffee Pdts,"185,392","222,228","209,039","240,125","202,867","236,748","326,387","400,342","291,504","326,635",ID
7,Guatemala,1,Coffee & Coffee Pdts,"284,369","277,854","309,414","369,796","339,541","295,044","577,276","565,740","410,660","360,586",GT
8,Nicaragua,1,Coffee & Coffee Pdts,"51,181","88,823","82,605","139,833","112,525","163,897","222,352","222,679","163,645","228,798",NU
9,Honduras,1,Coffee & Coffee Pdts,"60,440","58,875","100,983","132,232","74,913","77,182","231,283","281,847","158,936","198,834",HO
10,Peru,1,Coffee & Coffee Pdts,"79,452","120,133","137,189","168,890","162,335","214,414","370,344","241,878","173,017","209,379",PE
11,Costa Rica,1,Coffee & Coffee Pdts,"154,768","136,978","156,820","190,919","155,320","160,909","255,029","253,021","200,746","184,110",CS
12,Germany(*),1,Coffee & Coffee Pdts,"140,869","152,360","138,939","153,269","133,098","134,149","212,541","160,086","159,097","147,125",GM
13,Ethiopia(*),1,Coffee & Coffee Pdts,"29,665","42,944","45,040","76,227","38,501","70,797","101,717","74,698","79,989","93,320",ET
14,Switzerland(*),1,Coffee & Coffee Pdts,"37,160","36,532","34,680","36,885","53,042","61,194","84,430","66,276","49,116","59,512",SZ
15,Italy(*),1,Coffee & Coffee Pdts,"32,821","40,185","42,888","44,950","40,194","47,973","60,585","70,382","72,538","82,631",IT
16,El Salvador,1,Coffee & Coffee Pdts,"54,714","68,982","92,124","121,640","83,674","79,345","201,831","119,085","90,945","48,655",ES
17,Kenya,1,Coffee & Coffee Pdts,"21,275","24,139","26,301","36,332","32,826","32,907","40,143","48,939","32,721","43,692",KE
18,Papua New Guinea,1,Coffee & Coffee Pdts,"27,974","31,653","33,985","33,970","38,681","41,073","73,970","80,981","50,429","57,145",PP
